"Number of peptides","Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"15","3","7","0.01","1e-06","0.84685","0.5534","0.30811","0.39583","0.89651","0.55094","0.7644","0.64035","0.42563500000000004","0.033029588555"
"15","3","7","0.001","1e-06","0.89609","0.65174","0.61287","0.63171","0.87298","0.69802","0.52222","0.59746","0.3447905","0.019378729574750002"
"15","3","7","0.01","1e-07","0.82595","0.49723","0.52582","0.51112","0.88497","0.64","0.30622","0.41424","0.5253545","0.03665704998475"
"15","3","7","0.001","1e-07","0.88816","0.67407","0.6567","0.66527","0.86817","0.49479","0.49738","0.49608","0.390725","0.013920303355"
"15","3","7","0.01","1e-08","0.83296","0.5092","0.10807","0.1783","0.8813","0.0","0.0","0.0","0.34271700000000005","0.048447504711"
"15","3","7","0.001","1e-08","0.88376","0.58753","0.65333","0.61869","0.87875","0.56098","0.21698","0.31293","0.32949800000000007","0.017862916865999997"
"10","3","7","0.01","1e-06","0.83398","0.0","0.0","0.0","0.86058","0.75","0.25301","0.37838","0.39089050000000003","0.032464695124750004"
"10","3","7","0.001","1e-06","0.86468","0.66815","0.45354","0.54031","0.87331","0.33333","0.00518","0.0102","0.4824935","0.00719022005275"
"10","3","7","0.01","1e-07","0.81872","0.0","0.0","0.0","0.85946","0.0","0.0","0.0","0.475958","0.03848296995599999"
"10","3","7","0.001","1e-07","0.86074","0.67439","0.64","0.65675","0.8461","0.51402","0.53398","0.52381","0.44782600000000006","0.014855850093999997"
"10","3","7","0.01","1e-08","0.84427","0.62203","0.31964","0.42229","0.87359","0.60331","0.35437","0.44648","0.43268950000000006","0.02630945127475"
"10","3","7","0.001","1e-08","0.87067","0.64686","0.63898","0.6429","0.86141","0.60177","0.52918","0.56315","0.375498","0.022647349916"
