"Number of peptides","Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"2","10","10","0.001","1e-06","0.88477","0.79746","0.85919","0.82717","0.78042","0.73188","0.77561","0.75311","0.420098","0.000127186816"
"2","10","10","0.001","1e-06","0.87788","0.72451","0.8836","0.79619","0.78927","0.63914","0.87692","0.73939","0.4163075","2.6426858750000086e-05"
"3","10","10","0.001","1e-06","0.86662","0.6903","0.70966","0.69985","0.77792","0.59626","0.65354","0.62359","0.44798400000000005","0.001576469444"
"3","10","10","0.001","1e-06","0.81971","0.65031","0.74481","0.69436","0.80084","0.59951","0.72714","0.65718","0.4825595000000001","0.00206999604475"
"4","10","10","0.001","1e-06","0.83238","0.60921","0.62007","0.61459","0.7957","0.54459","0.66066","0.59704","0.4079249999999999","0.008638091605"
"4","10","10","0.001","1e-06","0.77149","0.55483","0.71947","0.62651","0.77389","0.56683","0.65149","0.60622","0.4667155","0.01092833440475"
"5","10","10","0.001","1e-06","0.87317","0.64189","0.68029","0.66053","0.8284","0.53358","0.73208","0.61727","0.39420200000000005","0.012369105486"
"5","10","10","0.001","1e-06","0.84391","0.63111","0.56866","0.59826","0.81868","0.61787","0.5094","0.55842","0.4101585","0.011960054572750001"
"6","10","10","0.001","1e-06","0.85516","0.62395","0.64115","0.63243","0.84581","0.51364","0.66996","0.58148","0.31934999999999997","0.021483543580000004"
"7","10","10","0.001","1e-06","0.8521","0.53388","0.67509","0.59624","0.8484","0.5434","0.71761","0.61847","0.3551995","0.023018601324749997"
"8","10","10","0.001","1e-06","0.8393","0.55915","0.50951","0.53318","0.85939","0.56629","0.56736","0.56682","0.31686400000000003","0.017428222874"
"9","10","10","0.001","1e-06","0.88564","0.58877","0.61597","0.60206","0.86069","0.525","0.44471","0.48153","0.33220249999999996","0.02132190255875"
"10","10","10","0.001","1e-06","0.85752","0.53745","0.60061","0.56728","0.86487","0.52252","0.48434","0.50271","0.3307825","0.021341989978749996"
"11","10","10","0.001","1e-06","0.86944","0.65211","0.46393","0.54215","0.86068","0.52567","0.43967","0.47884","0.307848","0.019785647676000002"
"12","10","10","0.001","1e-06","0.89144","0.60273","0.46943","0.52779","0.87778","0.58968","0.46967","0.52288","0.327373","0.023518836810999998"
