"model type","option","learning rate","weight decay","train auc score","test auc score"
"d","3","0.0001","1","0.5","0.5"
"d","3","0.0001","0.1","0.5","0.5"
"d","3","0.0001","0.01","0.5","0.5"
"d","3","0.0001","0.001","0.5719805900980411","0.51031494140625"
"d","3","0.0001","0.0001","0.6954878022290409","0.579345703125"
"d","3","0.0001","1e-05","0.7157420235899441","0.6293792724609375"
"d","3","0.001","1","0.5","0.5"
"d","3","0.001","0.1","0.5","0.5"
"d","3","0.001","0.01","0.5","0.5"
"d","3","0.001","0.001","0.6340475104383001","0.511474609375"
"d","3","0.001","0.0001","0.9187403963390159","0.611053466796875"
"d","3","0.001","1e-05","0.9655623459990688","0.598419189453125"
"d","3","0.01","1","0.5","0.5"
"d","3","0.01","0.1","0.5","0.5"
"d","3","0.01","0.01","0.5","0.5"
"d","3","0.01","0.001","0.5","0.5"
"d","3","0.01","0.0001","0.5","0.5"
"d","3","0.01","1e-05","0.9989582949659108","0.63677978515625"
"d","3","0.1","1","0.5","0.5"
"d","3","0.1","0.1","0.5","0.5"
"d","3","0.1","0.01","0.5","0.5"
"d","3","0.1","0.001","0.5","0.5"
"d","3","0.1","0.0001","0.5","0.5"
"d","3","0.1","1e-05","0.6139703694889034","0.49994659423828125"
