"model type","embedding dimension","lstm dimension","learning rate","weight decay","train auc score","test auc score"
"s","7","3","0.001","0","0.7841908288946514","0.7668702328032415"
"s","7","3","0.001","1e-05","0.7951386536487222","0.769854690537593"
"s","7","3","0.001","1e-06","0.7403531007318981","0.7197475430665353"
"s","7","3","0.001","0.0001","0.8004777023645167","0.7705846562690482"
"s","7","3","0.01","0","0.7741783569346478","0.7536946676652596"
"s","7","3","0.01","1e-05","0.7592427219281624","0.7361809285048677"
"s","7","3","0.01","1e-06","0.7666205040204661","0.7458336348497648"
"s","7","3","0.01","0.0001","0.7786493031257931","0.755776906845407"
"s","7","5","0.001","0","0.8147865438936553","0.7682006416861598"
"s","7","5","0.001","1e-05","0.8200725956838273","0.783247680469238"
"s","7","5","0.001","1e-06","0.8288327626691071","0.7844948486195135"
"s","7","5","0.001","0.0001","0.8149725004560818","0.777155235753293"
"s","7","5","0.01","0","0.7798004958774304","0.7510413970591826"
"s","7","5","0.01","1e-05","0.8199746599923885","0.7877152660839963"
"s","7","5","0.01","1e-06","0.801356243868915","0.7823443520385988"
"s","7","5","0.01","0.0001","0.8153494341428826","0.7849057248758382"
"s","7","7","0.001","0","0.8488558562436415","0.7952322372045676"
"s","7","7","0.001","1e-05","0.8462631054349332","0.801437778329263"
"s","7","7","0.001","1e-06","0.8435650491287562","0.7981740756838059"
"s","7","7","0.001","0.0001","0.8519170602155716","0.8121933688878551"
"s","7","7","0.01","0","0.8283614992542286","0.792734793249998"
"s","7","7","0.01","1e-05","0.8393571614381841","0.8032463219804813"
"s","7","7","0.01","1e-06","0.8233945973246606","0.7877312483046637"
"s","7","7","0.01","0.0001","0.8487016965735541","0.8105516396648529"
"s","7","10","0.001","0","0.8849319093074575","0.8070930427173681"
"s","7","10","0.001","1e-05","0.8853299861909918","0.816844195102071"
"s","7","10","0.001","1e-06","0.8894618265771853","0.8161831526972438"
"s","7","10","0.001","0.0001","0.8771492299455768","0.8169150052186389"
"s","7","10","0.01","0","0.836467875400742","0.7953125922584787"
"s","7","10","0.01","1e-05","0.8783512787794397","0.8254495110550353"
"s","7","10","0.01","1e-06","0.8394211720242315","0.8040681854807741"
"s","7","10","0.01","0.0001","0.8726680531753672","0.831055718904703"
"s","10","3","0.001","0","0.7679526580332704","0.7365803730339093"
"s","10","3","0.001","1e-05","0.7867780728731472","0.7600262907529979"
"s","10","3","0.001","1e-06","0.7581691931650031","0.7251836068586812"
"s","10","3","0.001","0.0001","0.7427023384981843","0.7179600870675866"
"s","10","3","0.01","0","0.7468140903214124","0.7282152343415303"
"s","10","3","0.01","1e-05","0.7682549590142794","0.746809216236338"
"s","10","3","0.01","1e-06","0.7632121739748112","0.7392963516585771"
"s","10","3","0.01","0.0001","0.5","0.5"
"s","10","5","0.001","0","0.8315085011565101","0.7892704249450501"
"s","10","5","0.001","1e-05","0.8294344849125735","0.7827676589109981"
"s","10","5","0.001","1e-06","0.8291623199335987","0.7829161603780328"
"s","10","5","0.001","0.0001","0.8323409671640849","0.7997143622006275"
"s","10","5","0.01","0","0.7992521484594945","0.7740170601326612"
"s","10","5","0.01","1e-05","0.8021161864382331","0.7688846585331962"
"s","10","5","0.01","1e-06","0.8021222047973989","0.7658631309259077"
"s","10","5","0.01","0.0001","0.8252781227124867","0.796284178089885"
"s","10","7","0.001","0","0.8550425463259566","0.7984808455305055"
"s","10","7","0.001","1e-05","0.8633650971341698","0.8078126865979757"
"s","10","7","0.001","1e-06","0.8516325680203416","0.7968186945810948"
"s","10","7","0.001","0.0001","0.8532134766685455","0.8056993708776414"
"s","10","7","0.01","0","0.8288656710317643","0.7964524353574667"
"s","10","7","0.01","1e-05","0.8329399296772729","0.7880076075370377"
"s","10","7","0.01","1e-06","0.8243043294648609","0.7914326862161781"
"s","10","7","0.01","0.0001","0.8363642813149562","0.8002105879548218"
"s","10","10","0.001","0","0.8914475314522102","0.812416343063694"
"s","10","10","0.001","1e-05","0.8791794820457379","0.8010870573757282"
"s","10","10","0.001","1e-06","0.8724479757372093","0.795947219604147"
"s","10","10","0.001","0.0001","0.8893566031769561","0.8256511756033178"
"s","10","10","0.01","0","0.8696866603504838","0.821107008514528"
"s","10","10","0.01","1e-05","0.8630226948092972","0.8014573121545232"
"s","10","10","0.01","1e-06","0.8504156848468352","0.8136497487461726"
"s","10","10","0.01","0.0001","0.8751428365662215","0.8256345274567892"
