"model type","embedding dimension","lstm dimension","learning rate","weight decay","train auc score","test auc score"
"s","3","3","0.001","0","0.7015859270656895","0.672757657263193"
"s","3","3","0.001","1e-05","0.7722436351686939","0.7661646963157567"
"s","3","3","0.001","1e-06","0.7294076483238304","0.7333189466441485"
"s","3","3","0.001","0.0001","0.7475824660919063","0.7466227768395153"
"s","3","3","0.01","0","0.7609852069462054","0.7553606054919623"
"s","3","3","0.01","1e-05","0.7069720274493148","0.6912539354892517"
"s","3","3","0.01","1e-06","0.7193525283994349","0.7081776860365713"
"s","3","3","0.01","0.0001","0.5","0.5"
"s","3","5","0.001","0","0.816069174088366","0.7923471153645669"
"s","3","5","0.001","1e-05","0.8012335536754158","0.7894245324326015"
"s","3","5","0.001","1e-06","0.7775811685793224","0.7518076145201309"
"s","3","5","0.001","0.0001","0.8013654076221683","0.7786318050082358"
"s","3","5","0.01","0","0.7957536977505979","0.7802633389629072"
"s","3","5","0.01","1e-05","0.804916957271449","0.7863598548820916"
"s","3","5","0.01","1e-06","0.8031894705571702","0.7935151477241926"
"s","3","5","0.01","0.0001","0.5","0.5"
"s","3","7","0.001","0","0.8170081334294245","0.7805532620253955"
"s","3","7","0.001","1e-05","0.8373996463124294","0.8058138904526595"
"s","3","7","0.001","1e-06","0.8288496602170976","0.8107620775213193"
"s","3","7","0.001","0.0001","0.8186750204082577","0.7760077980025437"
"s","3","7","0.01","0","0.8087131559955016","0.7918805904797648"
"s","3","7","0.01","1e-05","0.8305855320423424","0.7989309021913638"
"s","3","7","0.01","1e-06","0.7717108472693065","0.7570071516440442"
"s","3","7","0.01","0.0001","0.8339332491317755","0.8221340255624361"
"s","3","10","0.001","0","0.8632627069369101","0.8233646087446049"
"s","3","10","0.001","1e-05","0.8645603156801959","0.8182116719834867"
"s","3","10","0.001","1e-06","0.8668297767342401","0.8230975167323451"
"s","3","10","0.001","0.0001","0.8657460396056742","0.819801505389796"
"s","3","10","0.01","0","0.8375382698900539","0.8076819707679156"
"s","3","10","0.01","1e-05","0.852302738661862","0.814485727987323"
"s","3","10","0.01","1e-06","0.8232035252339913","0.8000940347365568"
"s","3","10","0.01","0.0001","0.859956985919296","0.8278476261962845"
"s","5","3","0.001","0","0.7428081646876823","0.7223240758115969"
"s","5","3","0.001","1e-05","0.6790264078428223","0.6537797377035508"
"s","5","3","0.001","1e-06","0.781175945142399","0.7624926502783511"
"s","5","3","0.001","0.0001","0.7790988544322939","0.7752735555972561"
"s","5","3","0.01","0","0.7357065654777801","0.7371548758366173"
"s","5","3","0.01","1e-05","0.768123058298702","0.7531709096974624"
"s","5","3","0.01","1e-06","0.7021429599877633","0.6911803340213925"
"s","5","3","0.01","0.0001","0.5","0.5"
"s","5","5","0.001","0","0.8051103212638593","0.7883428202080857"
"s","5","5","0.001","1e-05","0.8197528084672696","0.7937505473196973"
"s","5","5","0.001","1e-06","0.8166041416037538","0.7949329663685076"
"s","5","5","0.001","0.0001","0.8255071100997123","0.7972429682450323"
"s","5","5","0.01","0","0.8091380208496938","0.7922705948583225"
"s","5","5","0.01","1e-05","0.79666027697278","0.7851040428681637"
"s","5","5","0.01","1e-06","0.8061299776820141","0.7961750172014762"
"s","5","5","0.01","0.0001","0.5","0.5"
"s","5","7","0.001","0","0.8379477363982666","0.8103442380267301"
"s","5","7","0.001","1e-05","0.8044862202753265","0.7782385688371802"
"s","5","7","0.001","1e-06","0.8475711449099748","0.8107337211484331"
"s","5","7","0.001","0.0001","0.8399398605481683","0.8134690686182523"
"s","5","7","0.01","0","0.8204169246413153","0.7972183649214987"
"s","5","7","0.01","1e-05","0.8262668985949043","0.8082021851087342"
"s","5","7","0.01","1e-06","0.8304273303845267","0.8081751840036695"
"s","5","7","0.01","0.0001","0.833254933400551","0.7998521715560559"
"s","5","10","0.001","0","0.8784207310201282","0.827390171180751"
"s","5","10","0.001","1e-05","0.8787154022821093","0.8316967953128583"
"s","5","10","0.001","1e-06","0.8836016910743058","0.8270310252079816"
"s","5","10","0.001","0.0001","0.8820471633002923","0.8444467379746043"
"s","5","10","0.01","0","0.8487446565752154","0.819969141594212"
"s","5","10","0.01","1e-05","0.8598983093744387","0.8122462000375306"
"s","5","10","0.01","1e-06","0.857124831352212","0.8181430745814309"
"s","5","10","0.01","0.0001","0.8652540618105761","0.8293678196868288"
"s","7","3","0.001","0","0.7222400452129287","0.7007885573695294"
"s","7","3","0.001","1e-05","0.7830642618749647","0.7625428994391276"
"s","7","3","0.001","1e-06","0.7726692244246743","0.7616884552031858"
"s","7","3","0.001","0.0001","0.748012972305158","0.7498438314463836"
"s","7","3","0.01","0","0.7605743236875923","0.7605848501907799"
