"model type","embedding dimension","lstm dimension","learning rate","weight decay","train auc score","test auc score"
"d","7","3","0.001","0","0.5526745957859545","0.5404668519090077"
"d","7","3","0.001","1e-05","0.7722640379000251","0.7221092300223089"
"d","7","3","0.001","1e-06","0.6489192808923966","0.6053888479417368"
"d","7","3","0.001","0.0001","0.8067766581407346","0.7798158107901015"
"d","7","3","0.01","0","0.804545517509659","0.7744800415185522"
"d","7","3","0.01","1e-05","0.8131353691526367","0.7830105114225383"
"d","7","3","0.01","1e-06","0.8079423437382907","0.784182513357667"
"d","7","3","0.01","0.0001","0.8139406130375029","0.7881903500273229"
"d","7","5","0.001","0","0.8512119578061218","0.8022554464124356"
"d","7","5","0.001","1e-05","0.8493130962954657","0.812942653143661"
"d","7","5","0.001","1e-06","0.8516798744386356","0.8078812917970382"
"d","7","5","0.001","0.0001","0.8480849424524417","0.8012462433909221"
"d","7","5","0.01","0","0.8151074253933845","0.7899258701532177"
"d","7","5","0.01","1e-05","0.8373122862007907","0.7956876853621776"
"d","7","5","0.01","1e-06","0.8378474645760551","0.799329787887074"
"d","7","5","0.01","0.0001","0.8460063152448772","0.8127428300868704"
"d","7","7","0.001","0","0.876212503360859","0.8201392880461168"
"d","7","7","0.001","1e-05","0.8646490091796555","0.8054994052527493"
"d","7","7","0.001","1e-06","0.8748480817849827","0.7992321300021764"
"d","7","7","0.001","0.0001","0.8693474067867213","0.8153913977783797"
"d","7","7","0.01","0","0.857247658398858","0.8130755107936646"
"d","7","7","0.01","1e-05","0.8638235664011923","0.8150997119199712"
"d","7","7","0.01","1e-06","0.8510501438520259","0.7980072211030318"
"d","7","7","0.01","0.0001","0.8654309603599291","0.8207990690091395"
"d","7","10","0.001","0","0.9123568097058987","0.827852973156745"
"d","7","10","0.001","1e-05","0.904547470557423","0.818577405785897"
"d","7","10","0.001","1e-06","0.897959804800133","0.8239385017177057"
"d","7","10","0.001","0.0001","0.889848551713229","0.8317464105898063"
"d","7","10","0.01","0","0.8800809384244274","0.8129252678938221"
"d","7","10","0.01","1e-05","0.887615176663101","0.8058402420026777"
"d","7","10","0.01","1e-06","0.8787525731149659","0.8232850524197477"
"d","7","10","0.01","0.0001","0.8889660898708043","0.8406358537080592"
"d","10","3","0.001","0","0.8216317125863336","0.787275585399996"
"d","10","3","0.001","1e-05","0.8151941857844452","0.7687330359668625"
"d","10","3","0.001","1e-06","0.8131081550744371","0.766225267335777"
"d","10","3","0.001","0.0001","0.6681261306255892","0.6595170721007091"
"d","10","3","0.01","0","0.8060070185457799","0.7689524979169895"
"d","10","3","0.01","1e-05","0.8045831015839727","0.763997809029255"
"d","10","3","0.01","1e-06","0.7148272457954916","0.6955245001096774"
"d","10","3","0.01","0.0001","0.811792636083059","0.7825444364839556"
"d","10","5","0.001","0","0.8500393970730205","0.7932564332936549"
"d","10","5","0.001","1e-05","0.844148672718161","0.7896912765967494"
"d","10","5","0.001","1e-06","0.849591602943709","0.7910331603250569"
"d","10","5","0.001","0.0001","0.8585316217912564","0.8161924070672544"
"d","10","5","0.01","0","0.8355404682827973","0.7989342197950601"
"d","10","5","0.01","1e-05","0.8538644041970614","0.8103217730722656"
"d","10","5","0.01","1e-06","0.8137917090601529","0.7788789389932267"
"d","10","5","0.01","0.0001","0.8498087872024089","0.8155401382492238"
"d","10","7","0.001","0","0.8852658091641126","0.814307287939659"
"d","10","7","0.001","1e-05","0.8498950574217685","0.7762668588631076"
"d","10","7","0.001","1e-06","0.8814538202365438","0.8079028623848012"
"d","10","7","0.001","0.0001","0.8730022097449546","0.8191650701569952"
"d","10","7","0.01","0","0.8487351138355661","0.8101936373419713"
"d","10","7","0.01","1e-05","0.8537459481579641","0.7973215768979649"
"d","10","7","0.01","1e-06","0.8462798374198501","0.8079252915034206"
"d","10","7","0.01","0.0001","0.8700604347331542","0.8328090571571211"
"d","10","10","0.001","0","0.9037798362103358","0.8025301762864333"
