"model type","embedding dimension","lstm dimension","learning rate","weight decay","train auc score","test auc score"
"d","3","3","0.001","0","0.7215942567267886","0.698148725717341"
"d","3","3","0.001","1e-05","0.7075610233946678","0.6805002503585643"
"d","3","3","0.001","1e-06","0.7944510941740838","0.7729767633305328"
"d","3","3","0.001","0.0001","0.7010850163467202","0.6598577623885056"
"d","3","3","0.01","0","0.7540315038918788","0.7456424879700589"
"d","3","3","0.01","1e-05","0.7676592951669484","0.7501413040710849"
"d","3","3","0.01","1e-06","0.7395007788862786","0.7283994661846204"
"d","3","3","0.01","0.0001","0.7925695461527613","0.7701589564715566"
"d","3","5","0.001","0","0.7915054745398955","0.7467611451994807"
"d","3","5","0.001","1e-05","0.8276855239470039","0.795223243458852"
"d","3","5","0.001","1e-06","0.8286258161394429","0.7978969880591694"
"d","3","5","0.001","0.0001","0.8178247279322468","0.794362476767574"
"d","3","5","0.01","0","0.8118902590395161","0.791448982016617"
"d","3","5","0.01","1e-05","0.8316940792517585","0.7940005176905908"
"d","3","5","0.01","1e-06","0.8306353682654736","0.802295024229617"
"d","3","5","0.01","0.0001","0.8285950691169834","0.7976084392053026"
"d","3","7","0.001","0","0.8346613966602019","0.762208374706147"
"d","3","7","0.001","1e-05","0.8553825030424747","0.8038610382666701"
"d","3","7","0.001","1e-06","0.8538199697379867","0.7992692924612368"
"d","3","7","0.001","0.0001","0.8589125777530167","0.8145884784139997"
"d","3","7","0.01","0","0.8382428568055389","0.8007767480544169"
"d","3","7","0.01","1e-05","0.8478599293801264","0.7914493002690294"
"d","3","7","0.01","1e-06","0.847345711275376","0.7908981931749708"
"d","3","7","0.01","0.0001","0.566673890749154","0.5645855080581511"
"d","3","10","0.001","0","0.883702942154372","0.7966884775653267"
"d","3","10","0.001","1e-05","0.8725984424827105","0.7972029856319643"
"d","3","10","0.001","1e-06","0.8908187591298172","0.8251508516434556"
"d","3","10","0.001","0.0001","0.8682646758320617","0.8152684777350613"
"d","3","10","0.01","0","0.8750428435316062","0.8070785701555618"
"d","3","10","0.01","1e-05","0.8660009215172358","0.8090271235922635"
"d","3","10","0.01","1e-06","0.8680365875527527","0.8164218244774296"
"d","3","10","0.01","0.0001","0.8732388395264524","0.8216301312897284"
"d","5","3","0.001","0","0.8003557094821188","0.7670740297544789"
"d","5","3","0.001","1e-05","0.7908559261407764","0.7511287352224796"
"d","5","3","0.001","1e-06","0.806662129279168","0.7689364428715703"
"d","5","3","0.001","0.0001","0.8037990441492271","0.7793528443278933"
"d","5","3","0.01","0","0.7470916303388491","0.7163178620227275"
"d","5","3","0.01","1e-05","0.7245311717244817","0.6994030645585627"
"d","5","3","0.01","1e-06","0.6978694572557038","0.6669840704059203"
"d","5","3","0.01","0.0001","0.5642134971642923","0.5614858356459675"
"d","5","5","0.001","0","0.8416728345780836","0.8125847612258233"
"d","5","5","0.001","1e-05","0.8320484485772323","0.7768337703999796"
"d","5","5","0.001","1e-06","0.8410284170644061","0.7986262104200084"
"d","5","5","0.001","0.0001","0.8368041795018573","0.800333952864696"
"d","5","5","0.01","0","0.8320558896374621","0.8000601497059348"
"d","5","5","0.01","1e-05","0.8340205273707849","0.7922106661235159"
"d","5","5","0.01","1e-06","0.8297708778855646","0.798059615041882"
"d","5","5","0.01","0.0001","0.8401191718342468","0.8071463579193928"
"d","5","7","0.001","0","0.8681967171267553","0.8169791905355975"
"d","5","7","0.001","1e-05","0.8630057799041597","0.8008138775025249"
"d","5","7","0.001","1e-06","0.85617313164614","0.8033535317531041"
"d","5","7","0.001","0.0001","0.8652799236238347","0.80728840457944"
"d","5","7","0.01","0","0.8322271042214296","0.7947509568789197"
"d","5","7","0.01","1e-05","0.8538850694424501","0.8203835365905408"
"d","5","7","0.01","1e-06","0.8580316481182605","0.807292860113213"
"d","5","7","0.01","0.0001","0.865089251241719","0.8248487240199947"
"d","5","10","0.001","0","0.9016717815978623","0.8273554921879642"
"d","5","10","0.001","1e-05","0.8995494840077832","0.8132522426186658"
"d","5","10","0.001","1e-06","0.8980116351123593","0.8114135923483633"
"d","5","10","0.001","0.0001","0.8928897542471799","0.8231103232595837"
"d","5","10","0.01","0","0.8676128810751377","0.8146697388632873"
"d","5","10","0.01","1e-05","0.87388420153148","0.8109294243450366"
"d","5","10","0.01","1e-06","0.8728989630378415","0.8152208459573457"
"d","5","10","0.01","0.0001","0.8781191858739832","0.8241296857363511"
"d","7","3","0.001","0","0.8065270989246199","0.7805908462119476"
"d","7","3","0.001","1e-05","0.8082652629483064","0.7876317564987142"
"d","7","3","0.001","1e-06","0.7332748961219058","0.6901924154085087"
