"model type","embedding dimension","lstm dimension","learning rate","weight decay","train auc score","test auc score"
"s","7","3","0.001","0","0.7841908288946514","0.7668702328032415"
"s","7","3","0.001","1e-05","0.7951386536487222","0.769854690537593"
"s","7","3","0.001","1e-06","0.7403531007318981","0.7197475430665353"
"s","7","3","0.001","0.0001","0.8004777023645167","0.7705846562690482"
"s","7","3","0.01","0","0.7741783569346478","0.7536946676652596"
"s","7","3","0.01","1e-05","0.7592427219281624","0.7361809285048677"
"s","7","3","0.01","1e-06","0.7666205040204661","0.7458336348497648"
"s","7","3","0.01","0.0001","0.7786493031257931","0.755776906845407"
"s","7","5","0.001","0","0.8147865438936553","0.7682006416861598"
"s","7","5","0.001","1e-05","0.8200725956838273","0.783247680469238"
"s","7","5","0.001","1e-06","0.8288327626691071","0.7844948486195135"
"s","7","5","0.001","0.0001","0.8149725004560818","0.777155235753293"
"s","7","5","0.01","0","0.7798004958774304","0.7510413970591826"
"s","7","5","0.01","1e-05","0.8199746599923885","0.7877152660839963"
"s","7","5","0.01","1e-06","0.801356243868915","0.7823443520385988"
"s","7","5","0.01","0.0001","0.8153494341428826","0.7849057248758382"
"s","7","7","0.001","0","0.8488558562436415","0.7952322372045676"
"s","7","7","0.001","1e-05","0.8462631054349332","0.801437778329263"
"s","7","7","0.001","1e-06","0.8435650491287562","0.7981740756838059"
"s","7","7","0.001","0.0001","0.8519170602155716","0.8121933688878551"
"s","7","7","0.01","0","0.8283614992542286","0.792734793249998"
"s","7","7","0.01","1e-05","0.8393571614381841","0.8032463219804813"
"s","7","7","0.01","1e-06","0.8233945973246606","0.7877312483046637"
"s","7","7","0.01","0.0001","0.8487016965735541","0.8105516396648529"
"s","7","10","0.001","0","0.8849319093074575","0.8070930427173681"
"s","7","10","0.001","1e-05","0.8853299861909918","0.816844195102071"
"s","7","10","0.001","1e-06","0.8894618265771853","0.8161831526972438"
"s","7","10","0.001","0.0001","0.8771492299455768","0.8169150052186389"
"s","7","10","0.01","0","0.836467875400742","0.7953125922584787"
"s","7","10","0.01","1e-05","0.8783512787794397","0.8254495110550353"
