"Number of TCR", "Disease"
"5607","Influenza"
"1346","Cytomegalovirus (CMV)"
"1319","Epstein Barr virus (EBV)"
"1109","Human immunodeficiency virus (HIV)"
"529","mCMV"
"381","Melanoma"
"251","Yellow fever virus"
"95","Hepatitis C virus"
"67","Tumor"
"58","Diabetes Type 1"
"57","Herpes simplex virus 2 (HSV2)"
"49","Experimental autoimmune encephalomyelitis (EAE)"
"38","Plasmodium berghei"
"25","Herpes simplex virus 1 (HSV1)"
"20","Collagen type II-induced arthritis"
"16","Human immunodeficiency virus (HIV) related"
"16","Lung cancer"
"15","Lymphocytic choriomeningitis virus (LCMV)"
"15","Graft Vs Host Disease"
"14","Allergy"
