"Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"3","3","0.01","0.001","0.5","0.54667","1.0","0.7069","0.5","0.37113","1.0","0.54135","0.6938734999999999","7.274274999999983e-08"
"3","3","0.001","0.001","0.5","0.48833","1.0","0.65622","0.5","0.50515","1.0","0.67123","0.6932050000000001","1.3665000000001577e-08"
"3","3","0.0001","0.001","0.54816","0.525","0.18551","0.27415","0.64573","0.66667","0.04444","0.08333","0.6931759999999999","7.740000000002826e-10"
"3","3","1e-05","0.001","0.52447","0.0","0.0","0.0","0.53747","0.0","0.0","0.0","0.6931700000000001","1.026999999999845e-08"
"3","3","0.01","0.0001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.6939050000000001","6.16650000000015e-08"
"3","3","0.001","0.0001","0.50095","0.56083","1.0","0.71863","0.5","0.49485","1.0","0.66207","0.693222","1.8705999999999575e-08"
"3","3","0.0001","0.0001","0.52745","0.51405","0.92799","0.66161","0.62639","0.66667","0.04348","0.08163","0.6931744999999999","3.9604749999998725e-08"
"3","3","1e-05","0.0001","0.52167","0.0","0.0","0.0","0.6062","0.0","0.0","0.0","0.7309325","2.4370958750000074e-05"
"3","3","0.01","1e-05","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.693892","4.284599999999688e-08"
"3","3","0.001","1e-05","0.55845","0.0","0.0","0.0","0.68825","0.46739","0.97727","0.63235","0.6848275000000001","0.00012182498874999982"
"3","3","0.0001","1e-05","0.52907","0.56115","0.36111","0.43944","0.5243","0.5","0.23529","0.32","0.693061","1.3349000000001865e-08"
"3","3","1e-05","1e-05","0.55078","0.0","0.0","0.0","0.58162","0.0","0.0","0.0","0.7286064999999999","2.5686482749999973e-05"
"3","3","0.01","1e-06","0.53803","0.51167","1.0","0.67696","0.63427","0.52577","1.0","0.68919","0.691289","6.818442900000002e-05"
"3","3","0.001","1e-06","0.56656","0.46248","0.85294","0.59976","0.56991","0.4878","0.86957","0.625","0.6931525","1.0228750000000377e-08"
"3","3","0.0001","1e-06","0.52837","0.56677","0.53207","0.54887","0.56197","0.54286","0.36538","0.43678","0.6931944999999999","3.581347499999986e-07"
"3","3","1e-05","1e-06","0.54509","0.44583","1.0","0.61671","0.5797","0.46392","1.0","0.6338","0.7352894999999999","3.686217475000002e-05"
"3","3","0.01","1e-07","0.5625","0.65509","0.85498","0.74181","0.56197","0.52381","0.73333","0.61111","0.650806","0.002746916313999999"
"3","3","0.001","1e-07","0.5569","0.60698","0.42857","0.50241","0.54922","0.45833","0.26829","0.33846","0.667905","0.0007401280349999999"
"3","3","0.0001","1e-07","0.54665","0.0","0.0","0.0","0.62117","0.0","0.0","0.0","0.6932175","8.758750000000684e-09"
"3","3","1e-05","1e-07","0.52369","0.51167","1.0","0.67696","0.63889","0.37113","1.0","0.54135","0.698404","3.6857939999999947e-06"
"3","3","0.01","1e-08","0.53409","0.53147","0.25632","0.34585","0.73593","0.43299","1.0","0.60432","0.6942775","1.0084998749999997e-05"
"3","3","0.001","1e-08","0.52917","0.54167","1.0","0.7027","0.54255","0.45714","0.34043","0.39024","0.6927975","3.0408875000000014e-07"
"3","3","0.0001","1e-08","0.54594","0.64684","0.25476","0.36555","0.56245","0.66667","0.25926","0.37333","0.6932020000000001","2.642599999999879e-08"
"3","3","1e-05","1e-08","0.53758","0.0","0.0","0.0","0.58269","0.0","0.0","0.0","0.705857","1.1268611000000047e-05"
"3","5","0.01","0.001","0.5","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.693912","3.88160000000017e-08"
"3","5","0.001","0.001","0.61717","0.48083","1.0","0.64941","0.66252","0.0","0.0","0.0","0.6933425","1.0778750000000089e-08"
"3","5","0.0001","0.001","0.55416","0.5445","0.34154","0.41978","0.60592","0.64103","0.4717","0.54348","0.6932295","3.7854750000000937e-08"
"3","5","1e-05","0.001","0.51897","0.49083","1.0","0.65847","0.54103","0.53608","1.0","0.69799","0.6932159999999999","5.622399999999472e-08"
"3","5","0.01","0.0001","0.5","0.52167","1.0","0.68565","0.5","0.46392","1.0","0.6338","0.6939040000000001","3.54640000000013e-08"
"3","5","0.001","0.0001","0.5321","0.53","1.0","0.69281","0.6703","0.48913","1.0","0.65693","0.693473","2.548100000000254e-08"
"3","5","0.0001","0.0001","0.5227","0.41342","0.54192","0.46903","0.5699","0.5625","0.16981","0.26087","0.6930895","2.520475000000274e-08"
"3","5","1e-05","0.0001","0.55075","0.545","1.0","0.7055","0.58723","0.48454","1.0","0.65278","0.69448","1.126779999999994e-06"
"3","5","0.01","1e-05","0.53532","0.53","1.0","0.69281","0.55823","0.56701","1.0","0.72368","0.6938845","9.538475000000095e-08"
"3","5","0.001","1e-05","0.80299","0.65385","0.74904","0.69821","0.70327","0.59259","0.74419","0.65979","0.5446409999999998","4.0549069000000145e-05"
"3","5","0.0001","1e-05","0.64042","0.5678","0.58875","0.57808","0.58834","0.5","0.56818","0.53191","0.6869435","6.536482749999946e-06"
"3","5","1e-05","1e-05","0.5488","0.49708","1.0","0.66406","0.61974","0.41237","1.0","0.58394","0.6931654999999999","3.460474999999898e-08"
"3","5","0.01","1e-06","0.52732","0.0","0.0","0.0","0.59819","0.0","0.0","0.0","0.6938375000000001","9.050874999999967e-08"
"3","5","0.001","1e-06","0.68194","0.61549","0.74664","0.67475","0.57676","0.58209","0.73585","0.65","0.6320945","0.00510624338475"
"3","5","0.0001","1e-06","0.5373","0.0","0.0","0.0","0.65406","0.0","0.0","0.0","0.69316","8.469999999997847e-09"
"3","5","1e-05","1e-06","0.52857","0.0","0.0","0.0","0.58619","0.0","0.0","0.0","0.694917","1.2271210000000068e-06"
"3","5","0.01","1e-07","0.83288","0.82931","0.68244","0.74874","0.70112","0.68889","0.57407","0.62626","0.5075105000000001","0.00034783758475"
"3","5","0.001","1e-07","0.54486","0.47417","1.0","0.6433","0.63064","0.0","0.0","0.0","0.6922725000000002","7.187087499999809e-07"
"3","5","0.0001","1e-07","0.54406","0.53205","0.78179","0.63318","0.65195","0.0","0.0","0.0","0.6931465","1.344827499999956e-07"
