"Number of peptides","Embedding dimension","LSTM dimension","Learning rate","Weight decay","Train ROC AUC","Train precision","Train recall","Train F1 score","Test ROC AUC","Test precision","Test recall","Test F1 score","Loss mean","Loss variance"
"2","10","10","0.01","1e-06","0.84371","0.79423","0.80039","0.7973","0.80905","0.80805","0.66244","0.72803","0.4786020000000001","1.7210565999999974e-05"
"2","10","10","0.001","1e-06","0.94027","0.89345","0.89168","0.89256","0.80947","0.8536","0.6785","0.75604","0.3104635","0.00010680168275000003"
"2","5","10","0.01","1e-05","0.85294","0.75323","0.78241","0.76754","0.80238","0.80263","0.69635","0.74572","0.49297599999999997","9.163855399999996e-05"
"2","5","5","0.01","1e-08","0.81495","0.80302","0.71472","0.7563","0.76386","0.67206","0.78226","0.72298","0.4766745","4.1738074749999965e-05"
"2","10","7","0.01","1e-07","0.83613","0.76683","0.81842","0.79179","0.81211","0.67885","0.77151","0.72222","0.48555249999999994","4.678661875000016e-05"
"3","10","10","0.01","1e-06","0.78213","0.68506","0.32537","0.44119","0.81636","0.62791","0.70358","0.66359","0.5255139999999999","0.002405985094000001"
"3","10","10","0.001","1e-06","0.88467","0.76344","0.72186","0.74207","0.81099","0.58718","0.71787","0.64598","0.4133224999999999","0.0003576233687500001"
"3","5","10","0.01","1e-05","0.66145","0.09375","0.00219","0.00429","0.67331","0.14286","0.00326","0.00637","0.569135","0.0019684794549999995"
"3","5","5","0.01","1e-08","0.71015","0.67669","0.06677","0.12154","0.7363","0.51493","0.25746","0.34328","0.6022179999999999","0.003067796495999999"
"3","10","7","0.01","1e-07","0.65605","0.50963","0.44231","0.47359","0.74119","0.5853","0.61096","0.59786","0.616864","0.0037232963740000007"
"4","10","10","0.01","1e-06","0.6805","0.68","0.05329","0.09884","0.70912","0.54167","0.03939","0.07345","0.5266965000000001","0.0074425895627500014"
"4","10","10","0.001","1e-06","0.88388","0.78244","0.65954","0.71575","0.82072","0.63679","0.48387","0.5499","0.37446050000000003","0.0012287841647500002"
"4","5","10","0.01","1e-05","0.66417","0.0","0.0","0.0","0.68537","0.0","0.0","0.0","0.5600815","0.004166785542750002"
"4","5","5","0.01","1e-08","0.65822","0.0","0.0","0.0","0.72533","0.0","0.0","0.0","0.5977844999999999","0.00559677426475"
"4","10","7","0.01","1e-07","0.65884","0.0","0.0","0.0","0.68888","0.47674","0.15472","0.23362","0.5588780000000001","0.006834722765999999"
"5","10","10","0.01","1e-06","0.70996","0.33333","0.00276","0.00547","0.77895","1.0","0.01027","0.02034","0.5262680000000001","0.004758938256000001"
"5","10","10","0.001","1e-06","0.9252","0.74438","0.69005","0.71618","0.84451","0.56452","0.625","0.59322","0.307027","0.003609941231000001"
"5","5","10","0.01","1e-05","0.66103","0.57143","0.00338","0.00671","0.66092","0.0","0.0","0.0","0.48894850000000006","0.014620469412749998"
"5","5","5","0.01","1e-08","0.68939","0.0","0.0","0.0","0.7871","0.47842","0.50958","0.49351","0.5337845000000001","0.012565998014749998"
"5","10","7","0.01","1e-07","0.69422","0.41046","0.30545","0.35025","0.75065","0.47619","0.03086","0.05797","0.514902","0.009567703426"
"6","10","10","0.01","1e-06","0.71324","0.52913","0.10158","0.17045","0.74934","0.67797","0.12658","0.21333","0.42036799999999996","0.021997632125999998"
"6","10","10","0.001","1e-06","0.90288","0.72676","0.53151","0.61398","0.87283","0.63504","0.59386","0.61376","0.30876449999999994","0.009392241654750003"
"6","5","10","0.01","1e-05","0.69288","0.32274","0.55401","0.40787","0.72176","0.41021","0.67391","0.50999","0.4068789999999999","0.022485121879"
"6","5","5","0.01","1e-08","0.69464","0.0","0.0","0.0","0.73262","0.4","0.00766","0.01504","0.46680099999999997","0.011912947289000003"
"6","10","7","0.01","1e-07","0.69072","0.0","0.0","0.0","0.73829","0.0","0.0","0.0","0.4659525000000001","0.01488732569875"
"7","10","10","0.01","1e-06","0.69664","0.0","0.0","0.0","0.71807","0.58442","0.22388","0.32374","0.41321650000000004","0.016441922692749997"
"7","10","10","0.001","1e-06","0.88527","0.67133","0.60377","0.63576","0.85779","0.56995","0.51163","0.53922","0.3064664999999999","0.0049492308527500015"
"7","5","10","0.01","1e-05","0.69461","0.47801","0.13629","0.2121","0.73566","0.0","0.0","0.0","0.411886","0.018096321774"
"7","5","5","0.01","1e-08","0.71819","0.0","0.0","0.0","0.77674","0.0","0.0","0.0","0.47270499999999993","0.016802034855000002"
"7","10","7","0.01","1e-07","0.69395","0.46222","0.10078","0.16547","0.74596","0.41558","0.13559","0.20447","0.48200000000000004","0.020046106010000002"
"8","10","10","0.01","1e-06","0.70071","0.28302","0.28391","0.28346","0.76211","0.2902","0.32889","0.30833","0.3974285","0.02376715330275"
"8","10","10","0.001","1e-06","0.8779","0.65704","0.39912","0.49659","0.87118","0.58779","0.35648","0.4438","0.313079","0.009447751409"
"8","5","10","0.01","1e-05","0.69836","0.22673","0.12798","0.16361","0.75188","0.23558","0.20763","0.22072","0.416221","0.010383674659000001"
"8","5","5","0.01","1e-08","0.69663","0.36842","0.00763","0.01496","0.74109","0.66667","0.01278","0.02508","0.4001425","0.015020983698749999"
"8","10","7","0.01","1e-07","0.71202","0.16667","0.00106","0.00211","0.74295","0.08333","0.00559","0.01047","0.364316","0.026992325763999996"
"9","10","10","0.01","1e-06","0.7006","0.46823","0.14815","0.22508","0.71525","0.0","0.0","0.0","0.3294415","0.030549198252750005"
"9","10","10","0.001","1e-06","0.90867","0.61727","0.71331","0.66182","0.87905","0.53719","0.61321","0.57269","0.2773395","0.010531057784750001"
"9","5","10","0.01","1e-05","0.68864","0.2156","0.04762","0.07801","0.7506","0.0","0.0","0.0","0.33725099999999997","0.010258370319"
"9","5","5","0.01","1e-08","0.72118","0.0","0.0","0.0","0.77102","0.0","0.0","0.0","0.3964795","0.01497167667475"
"9","10","7","0.01","1e-07","0.6997","0.0","0.0","0.0","0.77367","0.0","0.0","0.0","0.43341899999999994","0.017266087698999996"
"10","10","10","0.01","1e-06","0.74833","0.0","0.0","0.0","0.75315","0.0","0.0","0.0","0.36243349999999996","0.02298230544275"
"10","10","10","0.001","1e-06","0.80438","0.90426","0.08551","0.15625","0.84423","0.97436","0.15768","0.27143","0.325422","0.014838602596000002"
"10","5","10","0.01","1e-05","0.72892","0.0","0.0","0.0","0.75475","0.0","0.0","0.0","0.32934700000000006","0.021533472690999998"
"10","5","5","0.01","1e-08","0.76259","0.0","0.0","0.0","0.78176","0.0","0.0","0.0","0.3179735","0.020375034832749998"
"10","10","7","0.01","1e-07","0.71883","0.66667","0.00226","0.0045","0.79005","0.2","0.00437","0.00855","0.43501499999999993","0.019333450895000003"
